orð	samheiti	samþykkt	hafnað
prósent	hlutfall	11	1
prósent	prósenta	2	0
prósent	hundraðshluti	6	0
pukrast	læðast	4	0
pukrast	laumupokast	5	0
ráða	sjá um	0	2
ráða	leiða	1	0
ráða	ríkja	4	0
ráða	stjórna	2	0
ráða	stýra	1	1
ráða við	valda	4	0
ráða við	höndla	7	0
ráða við	stjórna	3	2
ræða	spjalla	5	0
ræða	fjalla um	4	0
ræða	rabba	3	0
ræða	diskútera	2	1
ræða	tala um	6	1
ræða	skeggræða	1	2
ræða	tala	2	1
ræða	eiga samtal	4	1
ræða	tala saman	7	0
rakki	hundur	2	0
rammi	umgjörð	2	0
rammi	umgerð	3	0
renna	rúlla	0	1
rétta	laga	2	1
rexa	nöldra	1	1
reyna	rannsaka	6	7
reyna	prófa	10	0
reyna	kanna	6	2
reyna	prufa	6	0
reyna	athuga	0	4
rífast	snakyrðast	1	0
ríki	veldi	5	2
ríki	land	9	2
ríkja	tróna	1	1
ríkja	stjórna	0	1
ríkja	yfirráð	2	0
risastór	massívur	0	1
risastór	gríðarlegur	1	1
risastór	massaður	1	2
riss	skissa	6	0
riss	krass	1	0
rissa	skissa	2	0
rita	skrifa	2	0
rölta	ganga	0	1
rölta	skjaga	0	1
rölta	reika	0	1
rölta	ramba	2	1
rölta	slóra	0	1
rosalegt	svakalegt	2	0
rosalegt	ofboðslegt	1	0
rosalegt	gríðarlegt 	2	0
rústa	eyðileggja	6	0
rústa	brjóta	0	1
rústa	brjóta og bramla	1	0
rústa	ganga frá	2	3
rústa	skemma	3	1
rústa	bramla	2	0
rústa	jafna við jörðu	2	0
sálga	myrða	0	1
sálga	drepa	1	0
samtal	umræða	2	0
samtal	spjall	1	0
sanna	sýna	3	2
sanna	staðfesta	4	1
sapíens	manneskja	4	1
sapíens	vitiborinn maður	1	2
sapíens	mannvera	5	1
sapíens	maður	5	1
seðlar	peningar	1	0
seðlar	blöð	0	1
segja	tala	3	1
segja	tjá	5	2
segja	mæla	4	0
segja 	tjá	0	1
segja frá	kjafta frá	1	0
setja	stilla upp	2	2
setja	raða	2	3
setja	láta	7	0
setja	leggja	4	0
síðari	seinni	6	1
sigra	vinna	2	0
sigra	hafast	0	2
sigra	efstur	0	2
sigra	fyrstur	1	2
sigra	klára	0	2
sigur	vinningur	2	3
sigur	sigra	0	1
sigurlaun	verðlaun	3	2
sigurlaun	umbun	4	0
sigurlaun	vinningur	4	0
sjá	horfa	9	1
sjálfrennireið	vélfákur	1	0
sjálfrennireið	kerra	1	1
sjálfrennireið	bifreið	1	0
sjálfrennireið	bíll	4	0
sjálfrennireið	kerra 	0	1
sjálfrennireið	kaggi	4	1
sjálfrennireið	ökutæki	1	1
skapa	búa til	2	0
skarpur	sniðugur	3	2
skarpur	snjall	2	0
skarpur	klár	3	0
skeggræða	rökræða	4	1
skeggræða	spjalla	4	0
skeggræða	tala	2	1
skeggræða	þræta	1	1
skeggræða	ræða	5	1
skeggræða	rífast	2	2
skeiða	fara hratt	3	1
skeiða	fara framhjá	1	3
skemmtistaður	veislustaður	0	1
skemmtistaður	klúbbur	0	1
skila	endursenda	2	0
skila	afhenda	2	3
skila	að endursenda	1	1
skila	að gefa til baka	2	0
skila	gefa	0	4
skila	láta	2	2
skila af sér	gefa til baka	0	1
skila af sér	afhenda	2	0
skilja	fatta	8	0
skilja	skilnaður	2	3
skilja	deila	1	5
skilnaður	aðskilnaður	3	2
skissa	rissa	1	1
skissa	krot	1	0
skissa	teikning	2	1
skissa	uppkast	0	1
skissa	teikna	2	1
skoða	virða fyrir sér	6	0
skoða	athuga	2	0
skoða	líta á	1	0
skoða	gaumgæfa	2	0
skoða	kanna	1	0
skoðun	álit	2	0
sköpun	gerð	1	1
sköpun	skapnaður	0	1
skunda	labba	1	0
skunda	skeiða	1	1
skunda	stika	6	1
skunda	arka	2	0
skunda	ganga	3	0
skýra	lýsa	5	0
skýra	kynna	2	2
skýra	útskýra	5	0
slá af	fækka	2	1
slá af	minnka	7	1
slá af	hægja á	4	0
slá af	beilast	0	2
slá af	veita afslátt	3	0
slá af	hætta við	5	0
slá af	aflýsa	4	1
slagsmál	ryskingar	1	0
slagur	glíma	1	0
slagur	bardagi	0	1
slagur	slagsmál	2	0
slagur	tusk	2	1
slagur	viðureign	1	1
slagur	átök	1	0
slátra	aflífa	1	1
slátra	slá af	0	5
slátra	skjóta	3	4
slátra	rústa	2	3
slátra	skera 	1	6
slátra	drepa	1	2
slátra	sálga	1	1
slóði	gata	4	1
slóði	vegur	4	0
slóði	stígur	5	0
slóra	tefja	0	1
slóra	hanga	2	0
smár	lítill	7	0
smár	pínulítill	8	0
smár	agnarsmár	3	3
smár	smávaxinn	3	1
smávaxinn	stubbur	0	1
smávaxinn	stuttur	5	2
smávaxinn	fíngerður	1	0
smávaxinn	dvergvaxinn	4	2
smávaxinn	lítill	7	0
smávaxinn	smár	3	1
