orð	óviðeigandiheitaeinkunn	atkvæði
stórmóðga	0.5	2
stræki	8.5	2
strákaflenna	6.5	4
strákaglenna	7.0	4
strákhvelplingur	5.0	1
strákhveplingur	4.43	7
strákskratti	5.4	5
stráktittur	6.0	1
straull	0.0	1
stríðglæpur	3.5	2
stríðsæsingaseggur	4.38	8
stríðsnauðgun	6.5	2
stríðspabbi	7.5	2
stríðsréttarhöld	5.0	1
stritta	7.0	2
ströngull	0.0	2
strunsa	2.4	5
strympa	5.0	2
strytta	2.0	1
stryttulegur	5.2	5
stuðningur	0.0	4
stúlkuaumingi	6.33	3
stúlkuræfill	7.0	2
stundatafla	0.0	4
sturla	5.0	1
stuttbuxur	2.5	4
stykki	2.43	7
stýrivextir	5.0	1
styrjaldarseggur	5.33	3
subba	6.0	1
súðarbirna	3.25	4
suðukerling	3.0	2
sullukollur	3.67	3
súpa	1.67	3
surtla	8.33	3
surtur	5.67	3
svaðilmenni	1.33	3
svaki	0.33	3
svamla	1.25	4
svarkur	4.25	4
svarri	10.0	1
svefndrukkinn	1.0	2
sveitakerling	6.25	4
sveitavargur	2.25	4
svertingi	8.5	2
svertingjabrandari	10.0	1
svertingjafingur	10.0	2
svertingjahatur	5.0	1
svertingjamorð	5.5	4
svertingjaþjóð	9.0	5
svigi	2.5	2
svikari	4.67	6
svindlari	3.33	3
svipuhögg	0.0	3
svívirða	2.25	4
svoli	0.0	1
syfjaður	0.0	2
sýknudómur	1.67	3
sýna	0.0	1
synda	0.0	3
syngja	1.25	4
syrpa	0.0	1
taðjarpur	9.0	2
taðláki	6.0	3
taðrambur	5.0	1
taðrantur	5.0	1
taðrass	2.0	4
taðsekkur	6.0	3
tæa	6.6	5
tæfa	8.25	4
tæja	7.5	4
tæling	2.83	6
taggaður	0.0	3
tala	1.12	8
tanntúða	5.0	1
taumlaus	1.0	5
taus	6.33	3
tedrukkinn	1.75	4
tegla	3.75	4
teiknibóla	0.0	3
tékkasvik	3.5	4
tepra	2.67	3
teygða	5.0	2
tík	3.75	4
tíkarsonur	9.0	7
tíkartittur	7.5	8
tilbúinn	3.33	3
tildra	3.0	1
tilefni	1.0	5
tilfinning	5.0	2
tilkynning	0.0	3
tilli	3.0	2
tilnefna	1.43	7
tilvitnun	0.33	6
tímapöntun	2.0	5
timbra	5.0	3
timbraður	0.0	1
tingla	5.0	3
típa	4.0	4
tippi	4.0	2
tirja	5.0	3
tísill	2.0	1
tittlingur	5.0	5
tittur	5.8	5
tjald	1.25	4
tókur	4.8	5
tossi	4.33	3
tötrabassi	5.0	1
trana	5.67	3
trassi	5.25	4
tré	1.67	3
treggáfaður	4.5	2
treglegur	5.0	3
trérófa	3.33	3
trilla	4.0	2
trippa	0.0	1
tröllheimskur	6.0	4
tröllkerling	4.6	5
trúarhatur	0.0	3
trúarnauðung	3.67	6
trúarofbeldi	1.25	4
trúarofsóknir	0.0	2
trúarofstækismaður	3.67	3
trúboðastellingin	2.33	3
truflun	3.75	4
trukkalessa	4.0	3
trúleysingi	1.5	4
trúlofun	1.0	5
trúníðingur	7.0	5
trunta	7.5	2
trúvilla	5.0	3
trúvillingur	8.25	4
tryggingafélag	1.67	3
tuðra	5.5	4
tuðrutjaldur	6.0	2
tuðtrunta	9.5	2
tuðull	6.0	3
tukthúslimur	5.0	1
tungl	1.67	3
turfa	5.0	1
tuska	0.0	4
tuss	8.67	3
tussa	5.0	3
Tussu-	10.0	3
tussuhelvíti	8.0	2
tussulegur	1.0	3
tussusnúður	6.67	3
tvöfaldur	0.0	1
tyggja	0.0	4
týja	3.5	4
typpalingur	4.2	5
typpi	1.2	5
tyrðiltappi	6.5	2
tyrfa	4.0	3
tyrra	4.0	3
tyrta	5.33	3
umboðssvikabrot	2.8	5
umhverfisráðherra	4.5	2
umhverfissinni	2.0	5
umskiptingur	1.4	5
undanvillingur	7.0	4
undanþága	0.33	3
undrandi	1.5	4
upp	0.0	4
uppboð	0.67	3
uppdópaður	5.75	4
upplýsingafulltrúi	0.0	3
uppnefna	4.25	4
uppnefni	4.0	3
uppreisnarmaður	2.5	2
uppskafningur	4.4	5
úrþvætti	3.83	6
úthrópa	5.0	2
útlendingahatari	6.6	5
útlendingur	2.8	5
útmála	0.33	3
útskryppi	6.0	2
útströnd	0.5	2
útsýni	0.83	6
útúrdópaður	2.67	3
útúrruglaður	6.33	3
væfla	4.0	3
væl	4.5	2
væla	3.0	6
vælukjói	5.0	4
vændi	7.5	2
vændisbrot	2.5	2
vændiskaup	4.2	5
vændiskona	8.0	3
vændismál	3.0	1
vænisjúkur	6.0	4
væskill	6.67	3
valdamisnotkun	1.5	2
valdaseggur	0.0	2
valdasjúkur	2.5	4
valdníðingur	3.5	6
valdstjórn	1.5	4
valdstjórnarbrot	1.67	3
vámur	3.75	4
vandarhögg	5.0	1
vandræðaseggur	2.8	5
vangefin/n	9.8	5
vanhyggja	4.33	3
vantrúarseggur	7.2	5
vanvit	6.0	4
vanþroska	4.5	2
varðhaldsrefsing	2.0	4
varðhaldsúrskurður	3.5	2
vargatætla	6.67	3
vargatítla	0.5	2
varkárni	3.33	3
varmenni	2.5	4
vatn	0.0	3
vefsíða	1.0	5
vegna	2.5	4
veipa	3.0	4
veira	0.4	5
veisluþjónusta	2.5	4
veitingastaður	2.5	2
vélrænn	1.2	5
velsæmisbrot	1.0	1
vembill	7.5	2
venjulegur	1.25	4
vepja	6.0	2
verðbólga	10.0	1
verðtryggður	1.83	6
véri	5.33	3
verkfæri	1.75	4
verknaður	0.0	2
verndarsinni	0.0	3
vesaldaraumingi	7.5	2
vesalingur	4.2	5
veski	1.67	3
viðbætur	2.0	5
viðbjóðslegur	6.5	6
viðbjóður	3.0	4
viðræðuhæfur	3.0	1
viðrini	5.67	3
viðurkenning	0.0	5
viðurstyggilegur	4.0	5
villimenn	7.0	4
villingur	4.0	1
villutrúarmaður	5.0	3
víma	3.67	3
vímuefni	0.25	4
vingull	1.67	3
vinnukerling	5.25	4
vinnukona	0.0	2
vinnumarkaður	0.0	3
virðisaukaskattur	0.0	1
virkja	2.5	4
vísifingur	1.25	4
vísindamaður	5.0	1
vitfirringur	5.5	6
vitgrannur	7.0	1
vitleysingur	4.5	6
vitsmunaskortur	5.67	3
víxlverkun	2.0	3
voðaverk	1.2	5
vöðull	4.0	3
völlur	0.0	2
völsungur	0.0	1
vösólfur	5.67	3
Wuhan-veiran	8.0	1
yfirborð	0.0	1
yfirgangsseggur	5.0	1
yfirlætisfullur	4.67	3
yfirlýsing	1.17	6
yndislegur	0.0	3
yngispíka	10.0	1
yrsa	1.67	3
ysja	6.5	2
zíonisti	1.6	5
þausnir	7.5	2
þeytipíka	3.5	2
þingsályktunartillaga	1.25	4
þjáning	2.75	4
þjasi	0.0	1
þjóðaratkvæðagreiðsla	1.67	6
þjóðarmorð	1.5	6
þjóðernisbrot	4.0	2
þjóðernissinni	1.0	2
þjóðníðingur	7.0	2
þjófnaðarbrot	4.0	3
þjóna	1.67	3
þjónustupíka	9.0	5
þjónustustúlka	6.5	2
þjósa	1.0	2
þjösni	8.0	2
þögn	1.67	3
þola	0.0	3
þolandi	2.5	2
þolinmóður	4.67	3
þöngulhaus	7.4	5
þorpari	4.0	1
þorpshálfviti	6.0	5
þorskhaus	4.6	5
þorskur	1.0	3
þráðbeinn	3.75	4
þrælgáfaður	1.0	1
þrælheppinn	4.17	6
þrætudólgur	5.0	4
þráhyggjumaður	2.0	2
þreifandi	3.67	3
þrekmikill	3.0	5
þremillinn	4.0	3
þrifakona	4.29	7
þrjóskupúki	4.0	2
þrjótur	0.0	1
þrolli	9.8	5
þröngsýni	3.67	3
þröngsýnn	1.33	6
þroskahefta geit	9.75	4
þróun	0.0	7
þrustur	8.0	2
þulubrot	1.0	5
þunglyndur	2.0	3
þurrkunta	8.0	1
þurrtrunta	6.4	5
þurs	3.0	1
þvættisbrot	3.8	5
þvengmjór	4.0	5
þverúðarseggur	5.0	1
þvottur	0.0	1
