orð	óviðeigandiheitaeinkunn	atkvæði
einstakur	0.0	1
eiturkveita	7.0	3
eiturlyfjabrot	3.5	2
eiturnaggur	6.33	3
eiturnagli	3.67	3
eksnikerling	5.5	2
eldaskita	5.0	4
eldflaug	1.67	3
embættisbrot	0.0	1
embættismaður	0.5	4
endaþarmur	5.0	2
endurákæra	1.43	7
endurskinsmerki	0.0	3
endurskipulagning	1.67	3
epalhommi	7.25	4
epli	0.0	3
erkidjöfull	6.75	4
erkifífl	8.0	2
erkiflón	4.4	5
erkiheimskingi	7.33	3
erkiræfill	6.2	5
eskimói	6.2	5
éttu skít	7.8	10
eyðsluseggur	10.0	1
fábjánaháttur	5.25	4
fábjáni	7.33	3
faðir	0.0	4
fæðingarhálfviti	9.5	2
faggalegt	10.0	4
faggi	8.0	3
fáir	0.0	2
fáki	1.25	4
fákur	0.0	4
fála	0.0	1
fálki	5.0	1
fallegur	0.0	1
fangauppreisn	2.5	2
fangelsa	1.2	5
fangelsisdómur	1.6	5
fangelsisóeirðir	2.5	4
fangelsisrefsing	2.5	2
fangelsisuppreisn	0.5	6
fangelsisvist	1.25	4
fangelsun	0.0	2
fáni	0.0	4
fantur	2.5	2
fáráðlingsháttur	5.67	3
fáráðlingsskapur	8.67	3
fáráðlingur	7.0	3
fáránlegur	0.0	1
farðu í hoppandi hærusekk	5.29	7
farðu í hurðalaust helvíti	5.0	3
farðu í rass	8.75	4
farðu í rassgat	9.0	3
farðu norður og niður	0.0	1
farðu til fjandans	7.33	6
fásinna	1.0	2
fasískur	4.75	4
fasisti	5.0	2
fatabuska	5.5	2
fátæklingsræfill	8.8	5
fatalúði	10.0	1
fatlaður	5.0	4
fausi	5.0	2
fauskur	3.0	3
fauti	0.0	1
fávísi	3.33	3
fávit	6.6	5
fávitaskapur	6.0	2
fáviti	5.67	6
féhirðir	1.67	6
feita	6.0	2
feitabolla	8.5	2
félagaskiptagluggi	4.0	4
félagsheimili	0.0	2
félagslyndur	0.0	3
feministi	1.0	3
femínisti	2.75	4
féníðingur	7.0	1
fenja	0.0	2
ferðafuða	3.75	4
ferja	2.5	4
ferli	1.25	4
ferlíki	0.0	2
festa	0.0	2
fettirófa	5.0	1
fiðafita	5.0	1
fífl	4.5	4
fíkn	4.0	2
fíknefnabrot	1.4	5
fíkniefnabrot	2.4	5
fíkniefnaglæpur	8.5	2
fíkniefnaneysla	2.75	4
fimbulfambi	0.67	3
finna	0.0	2
fitubolla	8.14	7
fitubolti	6.67	3
fituhlunkur	8.0	6
fitukeppur	3.4	5
fjall	0.0	6
fjanda	2.5	2
fjandakorn	3.0	1
fjandinn	5.33	3
fjárdráttarákæra	0.5	4
fjárhagslegur	2.5	2
fjárhagur	1.75	4
fjárlagafrumvarp	0.83	6
fjármálakerfi	0.5	4
fjármálaráðherra	2.14	7
fjársvikabrot	1.67	3
fjöldaaftaka	3.33	3
fjöldamorð	1.29	7
fjöldanauðgun	5.0	1
fjöldaskotárás	3.33	3
fjölfatlaður	1.25	4
fjólublár	0.0	1
fjörður	0.0	1
flækingskvendi	9.0	2
flækingsræfill	5.0	2
flaga	0.0	1
flagari	5.5	4
flagð	4.83	6
flaggáta	5.0	1
flakatrúss	3.0	2
flaki	5.0	1
flautakollur	0.0	1
flautaþyrill	0.0	1
flegða	6.5	4
flenja	2.67	3
flenna	5.0	2
flennubredda	7.33	3
flétta	2.5	2
flík	0.33	3
flókatrissa	5.4	5
flökkukerling	2.5	2
flón	3.5	2
flónska	0.0	3
flosi	1.4	5
flösungur	1.5	2
flottræfill	2.5	4
fluðra	5.0	1
fluðrukolla	2.5	2
fluðrukollur	1.33	3
fluðruvaskur	2.67	3
fluðruveski	5.33	3
flugdólgur	3.2	5
flughani	3.6	5
flumbrari	3.0	2
flyðra	3.0	3
flymbra	5.0	1
flysjungur	10.0	1
föðurlandssinni	4.5	4
föðurlandssvikari	4.5	6
föðurmorð	0.0	1
fóhorn	1.67	3
fokk	5.5	2
fokka	5.67	3
fokkass	9.5	2
fól	4.67	3
fóli	4.0	5
fólska	1.75	4
fólskumorð	2.0	5
fordómafullur	1.43	7
fordómur	2.5	2
form	0.0	2
formúla	0.5	4
forpoka	4.33	3
forræðishyggjumaður	1.4	5
forseti	0.0	7
förumannsræfill	10.0	1
foss	0.0	1
fóstra	4.67	3
fóstureyðing	2.0	5
fósturmorð	8.33	6
fræ	4.6	5
fræðimaður	0.0	3
frægur	0.0	2
frakkaræfill	7.0	4
framhaldsbrot	2.0	4
framkvæma	4.5	2
framleiðandi	1.0	2
framlenging	0.17	6
framtíð	0.0	3
freigáta	3.0	5
frekja	4.62	8
frekjudós	3.67	3
frekjudrjóli	8.0	1
frekjuhundur	2.8	5
frekjuskarð	8.0	1
frelsissinni	5.5	2
frelsissvifting	3.67	3
frelsissvipta	1.0	5
frelsissvipting	1.0	5
frelsissviptingarbrot	3.4	5
frenja	5.25	4
freyðsild	6.0	1
freysgeldingur	1.0	2
friðarbrot	1.0	1
friðhelgisbrot	0.5	2
frík	7.0	3
frillusonur	6.67	3
froðusnakkur	3.5	8
frolla	7.5	2
froskur	0.0	5
frumbyggi	0.0	1
frumefni	1.67	3
frumskógur	0.0	1
frumti	5.0	3
frunti	5.0	1
fruska	5.0	4
fuckin	7.71	7
fuðra	0.0	4
fuðrandi	2.5	2
fúga	1.67	3
fúgáta	0.0	2
fugl	2.5	4
fullkomnunarsinni	2.0	2
fullorðinn	0.0	2
funi	0.0	4
fura	0.0	1
fylgifiskur	0.71	7
fyllibytta	8.5	2
fylliraftur	8.0	1
fýlukarl	5.0	2
fýlukoppur	3.0	5
fýlupoki	5.8	5
fýlupúki	3.33	3
fýlupungur	6.67	3
fýlutrunta	6.0	3
fyndinn	0.0	2
fyrirlíta	4.25	4
fyrirlitinn	1.67	3
fyrirlitlegur	7.0	1
fyrirsögn	1.25	4
gægsni	6.0	4
gælunafn	0.0	7
gæma	5.0	1
gæra	7.5	2
gæs	1.67	3
gæslusystir	4.33	6
gæsluvarðhald	1.75	4
gæsluvarðhaldskrafa	2.4	5
gæsluvarðhaldsúrskurður	0.0	1
gafhlað	5.0	3
gaflhlað	2.5	2
gáfnaskortur	3.0	2
gagl	7.5	2
gagnslaus	4.0	4
gála	10.0	2
galahjallur	3.0	1
galapín	10.0	1
gáleysisbrot	5.0	1
galfantur	5.0	1
gáli	2.33	3
galías	2.5	2
galinn	4.0	3
gallerí	3.0	5
gaman	0.0	4
gámur	0.0	4
gandála	0.0	1
gandálfur	1.75	4
gandólfur	7.5	2
ganga	1.67	3
ganta	1.67	3
ganti	0.0	1
gaprildi	6.75	4
gari	9.0	1
gári	5.0	2
garnaflækja	2.43	7
garri	0.0	2
gasi	0.0	3
gassi	2.25	4
gaufari	1.0	1
gaur	1.67	3
gauti	0.0	1
Gay Pride	1.67	6
geðbilaður	0.0	1
geðlúða	0.0	1
geðsjúklingur	9.33	3
geðsjúkur	7.67	3
geðstyggur	3.0	2
geðveikur	5.5	2
geðvilltur	4.0	2
gegða	5.0	1
geitaskurfa	6.0	3
gelgja	4.0	3
gella	1.0	1
gemla	0.0	1
gemsi	3.0	8
gengilbeina	0.0	2
gengjaofbeldi	6.6	5
genja	0.0	2
gensa	2.0	1
genta	5.5	2
gepill	6.0	2
gerpi	5.0	2
getnaðarlimur	2.5	2
gikkur	3.83	6
gimbill	1.0	2
ginningarfífl	10.0	1
gjaldeyrishöft	2.5	4
gjaldþrota	2.5	6
gjússa	5.0	4
glaðél	2.5	2
glæél	10.0	1
glæfrarokkur	2.5	2
glænapi	10.0	1
glæpadólgur	3.5	2
glæpamaður	2.83	6
glæpaseggur	4.0	3
glæpaverk	5.0	1
glæpur	1.67	3
gláka	2.67	3
gláni	5.67	3
glanni	2.0	3
glappaskot	2.5	6
glappi	0.0	1
glasabarn	3.33	3
gleðigosi	5.0	1
gleðikona	7.4	5
gleðra	7.67	3
gleiðálka	7.0	4
glenna	5.0	2
glenniverk	7.0	1
glerjabrúsi	0.0	1
glerjagás	8.5	2
glerkunta	8.33	6
glíma	2.0	1
gloðra	1.0	2
glofra	3.0	3
glópaldi	2.33	3
glópska	3.2	5
glópur	5.0	2
glorri	3.75	4
glufra	3.0	2
gluggaskraut	3.33	3
glumbra	3.0	4
glutra	1.0	5
glyðra	6.33	3
góðhjartaður	1.25	4
göðull	1.67	3
golur	1.33	3
golþorskur	4.0	2
gomsari	6.0	1
göndólfur	6.75	4
göndull	4.75	4
gortari	4.67	3
gorvambarhaus	7.75	4
gotuskellir	5.0	1
götuskellir	4.0	3
graðnagli	6.6	5
graður	6.67	3
gráður	0.0	3
græðgispúki	4.0	4
græningi	0.0	2
grænska	6.5	2
grákolað	3.0	2
grannur	2.5	6
grasasni	5.67	6
gráslemba	2.0	4
grautarhaus	5.75	4
greddupadda	8.33	3
greddusvín	7.5	2
grefillinn	6.0	3
grefilsins	3.0	1
greiðslumat	0.0	2
greindarlítill	0.0	2
greiningardeild	2.5	2
grennla	5.0	1
greppatrýni	3.5	2
gribba	6.5	4
grimmdarseggur	3.33	3
grimmdarverk	3.8	5
gringói	8.67	3
grípa	0.0	1
grís	1.0	3
grissa	10.0	1
grjón	3.38	8
grjónapungur	3.67	6
grjóni	6.67	3
grobbari	3.33	3
grobbías	4.67	3
groddi	5.25	4
grubba	7.0	1
grútarháleistur	4.4	5
grútur	3.8	5
grybba	5.0	4
grýting	4.5	2
grýtis	1.67	3
guddilon	9.67	3
guðlasta	4.67	3
guðleysingi	3.8	5
guðsgeldingur	0.0	1
gufa	0.0	2
gúgla	4.0	5
guli kynstofninn	9.0	5
gullfallegur	2.0	7
gunga	7.0	1
gunnungur	3.67	3
gyðingahatari	7.0	5
gyðingamorð	2.5	2
gyðingasamsæri	9.4	5
hælisleitandi	3.33	3
hærulangur	1.0	3
hættubrot	0.0	1
hafgleypa	6.0	3
hafnagapi	8.0	2
hákur	2.5	2
halabarn	5.0	3
halalalli	5.0	2
halanegri	10.0	1
hálfbjáni	6.0	5
hálfbrjálaður	3.75	4
hálfgeðveikur	6.0	4
hálförvinglaður	3.8	5
hálfrænulaus	1.88	8
hálfruglaður	3.4	5
hálfsturlaður	3.67	3
hálftýndur	2.2	5
hálfvitalegur	10.0	1
hálfvitaskapur	4.67	3
hálfviti	3.0	3
hálfvitlaus	4.0	4
hálfþreyttur	1.6	5
