vosbúð	6.56	9
yfirgangsseggur	6.86	7
yfirlæti	7.33	9
yfirlætisfullur	7.07	14
ýkt	1.92	13
þjóðernissinni	6.0	15
þreyttur	5.14	7
þrjóskupúki	3.78	9
þrjóskur	4.78	9
þröngsýnn	7.1	10
þunglyndi	6.1	10
þunglyndur	5.17	12
þunnur	4.07	15
þver	6.11	9
þybbinn	5.38	8
þykkildi	6.73	11
